case,algorithm,interpretation,truth_count,candidate_count,count_error,matched_iou_0_3,precision_iou_0_3,recall_iou_0_3,f1_iou_0_3,empty_scene_correct,false_positive_objects
cells_isolated_2d,preprocess,intensity only; no count,9,0,,,,,,,
cells_isolated_2d,otsu,body candidates,9,9,0,9,1.0,1.0,1.0,,0
cells_isolated_2d,watershed,body candidates,9,9,0,9,1.0,1.0,1.0,,0
cells_isolated_2d,sato_xy,network components; not body counts,9,9,0,9,1.0,1.0,1.0,,0
cells_touching_2d,preprocess,intensity only; no count,10,0,,,,,,,
cells_touching_2d,otsu,body candidates,10,5,-5,5,1.0,0.5,0.6666666666666666,,0
cells_touching_2d,watershed,body candidates,10,10,0,10,1.0,1.0,1.0,,0
cells_touching_2d,sato_xy,network components; not body counts,10,5,-5,5,1.0,0.5,0.6666666666666666,,0
cells_dim_2d,preprocess,intensity only; no count,8,0,,,,,,,
cells_dim_2d,otsu,body candidates,8,8,0,8,1.0,1.0,1.0,,0
cells_dim_2d,watershed,body candidates,8,8,0,8,1.0,1.0,1.0,,0
cells_dim_2d,sato_xy,network components; not body counts,8,7,-1,7,1.0,0.875,0.9333333333333333,,0
neurons_crossing_2d,preprocess,intensity only; no count,5,0,,,,,,,
neurons_crossing_2d,otsu,body candidates,5,5,0,5,1.0,1.0,1.0,,0
neurons_crossing_2d,watershed,body candidates,5,5,0,5,1.0,1.0,1.0,,0
neurons_crossing_2d,sato_xy,network components; not body counts,5,3,-2,1,0.3333333333333333,0.2,0.25,,2
cells_touching_3d,preprocess,intensity only; no count,8,0,,,,,,,
cells_touching_3d,otsu,body candidates,8,4,-4,4,1.0,0.5,0.6666666666666666,,0
cells_touching_3d,watershed,body candidates,8,11,3,8,0.7272727272727273,1.0,0.8421052631578948,,3
cells_touching_3d,sato_xy,network components; not body counts,8,4,-4,4,1.0,0.5,0.6666666666666666,,0
cells_touching_3d,sato_3d_grid,network components; not body counts,8,4,-4,1,0.25,0.125,0.16666666666666666,,3
neurons_crossing_3d,preprocess,intensity only; no count,5,0,,,,,,,
neurons_crossing_3d,otsu,body candidates,5,5,0,5,1.0,1.0,1.0,,0
neurons_crossing_3d,watershed,body candidates,5,5,0,5,1.0,1.0,1.0,,0
neurons_crossing_3d,sato_xy,network components; not body counts,5,9,4,4,0.4444444444444444,0.8,0.5714285714285714,,5
neurons_crossing_3d,sato_3d_grid,network components; not body counts,5,4,-1,4,1.0,0.8,0.888888888888889,,0
cells_empty_2d,preprocess,intensity only; no count,0,0,,,,,,,
cells_empty_2d,otsu,body candidates,0,33,33,0,0.0,1.0,0.0,False,33
cells_empty_2d,watershed,body candidates,0,41,41,0,0.0,1.0,0.0,False,41
cells_empty_2d,sato_xy,network components; not body counts,0,82,82,0,0.0,1.0,0.0,False,82
cells_empty_3d,preprocess,intensity only; no count,0,0,,,,,,,
cells_empty_3d,otsu,body candidates,0,205,205,0,0.0,1.0,0.0,False,205
cells_empty_3d,watershed,body candidates,0,258,258,0,0.0,1.0,0.0,False,258
cells_empty_3d,sato_xy,network components; not body counts,0,113,113,0,0.0,1.0,0.0,False,113
cells_empty_3d,sato_3d_grid,network components; not body counts,0,57,57,0,0.0,1.0,0.0,False,57
cells_edge_2d,preprocess,intensity only; no count,2,0,,,,,,,
cells_edge_2d,otsu,body candidates,2,2,0,2,1.0,1.0,1.0,,0
cells_edge_2d,watershed,body candidates,2,2,0,2,1.0,1.0,1.0,,0
cells_edge_2d,sato_xy,network components; not body counts,2,2,0,2,1.0,1.0,1.0,,0
cells_edge_3d,preprocess,intensity only; no count,2,0,,,,,,,
cells_edge_3d,otsu,body candidates,2,2,0,2,1.0,1.0,1.0,,0
cells_edge_3d,watershed,body candidates,2,3,1,2,0.6666666666666666,1.0,0.8,,1
cells_edge_3d,sato_xy,network components; not body counts,2,93,91,0,0.0,0.0,0.0,,93
cells_edge_3d,sato_3d_grid,network components; not body counts,2,2,0,2,1.0,1.0,1.0,,0
cells_attenuated_3d,preprocess,intensity only; no count,6,0,,,,,,,
cells_attenuated_3d,otsu,body candidates,6,6,0,6,1.0,1.0,1.0,,0
cells_attenuated_3d,watershed,body candidates,6,7,1,6,0.8571428571428571,1.0,0.923076923076923,,1
cells_attenuated_3d,sato_xy,network components; not body counts,6,6,0,6,1.0,1.0,1.0,,0
cells_attenuated_3d,sato_3d_grid,network components; not body counts,6,6,0,6,1.0,1.0,1.0,,0
